what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113480031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113634078
opened,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268113636968
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268113637031
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.quickStartAction",1268113637078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113650046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113656328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113657500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113678390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113680093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113694953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113697140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113701562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113702875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113786765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113801828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113856234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113867109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113871890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113879406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113899625
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268113899828
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268113899859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113906234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113908203
