what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268114723500
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1268114723609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114723781
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1268114724171
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1268114771375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114772734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114775687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114778796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114779937
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1268114794890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114810750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114814671
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1268114858203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114862250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114867078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114870640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114946500
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114950468
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268114952531
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114952703
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268114952718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114956062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114957734
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114958140
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1268114961031
