what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1268114524125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114535218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114615546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114628609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114641890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114647953
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268114663000
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1268114663031
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268114663062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114663265
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1268114663500
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114674187
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268114681234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114690578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114692312
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114692484
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268114692484
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1268114700609
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1268114700625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114701250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114705968
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1268114705984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1268114705984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114712203
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268114723203
