what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114029937
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1268114030015
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1268114030125
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114030218
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1268114030234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268114030406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114105609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114108093
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1268114114703
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114116703
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1268114125296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114132296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114223921
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268114223937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114233000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114323156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114326687
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1268114344265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114419500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114425921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114447421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114453390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114488500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114490218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268114520750
