what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1268112959234
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1268112959828
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1268112959843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112966406
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1268112983296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112988734
opened,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268113118375
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268113118453
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.quickStartAction",1268113118546
started,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1268113130843
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1268113130843
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1268113130968
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1268113131031
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1268113131375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113131734
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1268113132078
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1268113132078
started,bundle,org.eclipse.help.webapp,3.4.1.v20090819_35x,"org.eclipse.help.webapp",1268113134468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113176093
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268113182906
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268113182937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113187562
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1268113200828
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1268113201171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268113472750
